Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592,487709497,596648045,695530726,764804469,872067039,958659218,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385,
Africa Eastern and Southern,21125015452,21616228139,23506279900,28048360188,25920665260,29472103270,32014368121,33269509510,36327785495,41638967621,44629891649,49173371529,53123459912,69482723444,85380645042,90835426418,90212747243,1.02241E+11,1.16085E+11,1.34257E+11,1.71218E+11,1.75859E+11,1.68096E+11,1.75565E+11,1.60647E+11,1.36759E+11,1.5305E+11,1.86658E+11,2.04766E+11,2.18242E+11,2.54062E+11,2.76857E+11,2.46088E+11,2.42926E+11,2.39611E+11,2.70327E+11,2.69491E+11,2.83446E+11,2.66652E+11,2.63025E+11,2.84759E+11,2.59643E+11,2.66529E+11,3.54177E+11,4.40482E+11,5.13942E+11,5.77587E+11,6.62868E+11,7.10536E+11,7.21901E+11,8.6352E+11,9.67825E+11,9.75355E+11,9.85987E+11,1.00653E+12,9.27348E+11,8.85176E+11,1.02104E+12,1.0072E+12,1.00083E+12,9.27593E+11,1.082E+12,1.16948E+12
Africa Western and Central,10447637853,11173212080,11990534018,12727688165,13898109284,14929792388,15910837742,14510579889,14968235782,16979315745,23596163865,20936358634,25386169423,31975594565,44416677335,51667190242,62351622300,65595122956,71496496574,88948338390,1.12439E+11,2.11338E+11,1.87449E+11,1.38384E+11,1.14516E+11,1.16777E+11,1.07887E+11,1.10729E+11,1.09439E+11,1.02255E+11,1.22387E+11,1.1804E+11,1.18893E+11,99272180411,86636400266,1.08691E+11,1.26287E+11,1.27602E+11,1.30678E+11,1.38086E+11,1.40946E+11,1.4853E+11,1.77201E+11,2.05214E+11,2.54265E+11,3.1089E+11,3.96921E+11,4.65486E+11,5.67791E+11,5.08363E+11,5.98522E+11,6.82016E+11,7.37589E+11,8.33948E+11,8.94322E+11,7.68645E+11,6.91363E+11,6.84899E+11,7.67026E+11,8.22538E+11,7.8646E+11,8.4446E+11,8.77863E+11
Angola,,,,,,,,,,,,,,,,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7554065410,7072536109,8084412414,8769836769,10201780977,11229515599,12704558517,15114352005,11051939102,3390500000,5561222222,7526963964,7648377413,6506229607,6152922943,9129594819,8936079253,15285592487,17812704626,23552057820,36970901025,52381025105,65266415707,88538664888,70307196477,81699526881,1.09437E+11,1.24998E+11,1.33402E+11,1.37244E+11,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100,1.06714E+11
Albania,,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174991,1185315468,1880950858,2392764853,3199640826,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077209,8896074996,10677324873,12881352878,12044205572,11926926654,12890760273,12319834233,12776224537,13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119,18882095518
Andorra,,,,,,,,,,,78617623,89406588,113414399,150841573,186557164,220112880,227284061,253998001,308020289,411548366,446377571,388982990,375914807,327849981,330073057,346742876,481996191,611300147,721425972,795489464,1028989394,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1429048106,1546912332,1755989899,2361635782,2895047587,3159826892,3456265062,3952397735,4085781939,3674188229,3449925739,3629133575,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407,3352032737
Arab World,,,,,,,,,34715404211,37827652252,42768536551,49428519673,58935857749,74780454402,1.42138E+11,1.57069E+11,1.95514E+11,2.25676E+11,2.49608E+11,3.37962E+11,4.59805E+11,4.74812E+11,4.44576E+11,4.18462E+11,4.25899E+11,4.19485E+11,4.06983E+11,4.40608E+11,4.24896E+11,4.55823E+11,6.44063E+11,4.718E+11,4.73811E+11,4.82764E+11,5.07765E+11,5.56046E+11,6.14186E+11,6.62308E+11,6.49192E+11,7.17469E+11,8.20186E+11,8.02881E+11,8.07962E+11,8.93818E+11,1.06274E+12,1.3044E+12,1.54554E+12,1.79793E+12,2.26303E+12,1.98705E+12,2.33464E+12,2.55598E+12,2.8017E+12,2.85967E+12,2.90573E+12,2.55416E+12,2.53754E+12,2.63711E+12,2.84348E+12,2.86889E+12,2.53338E+12,2.92846E+12,3.55756E+12
United Arab Emirates,,,,,,,,,,,,,,,,14720728252,19213156353,24871775165,23775765254,31225660993,43599160062,49333424149,46622718618,42803323357,41807954241,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.8461E+11,4.00219E+11,4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11,4.15022E+11,5.07535E+11
Argentina,,,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499892,56781000101,89049453088,69252328952,76961923741,78676842367,84307486837,1.03979E+11,1.16915E+11,88150891728,1.05872E+11,1.08811E+11,1.2689E+11,76629728760,1.41353E+11,1.8972E+11,2.28779E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.8554E+11,4.87227E+11,6.3277E+11
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469515,6384452071,9206301264,11662040704,8647937091,9260285762,10142111812,10619320693,11121464430,11609513241,10553337528,10546136240,11527458713,12457940705,13619290546,12641698594,13861409969,19502783988
